Retention,MaxLevelPassed,User_id,AB_Cohort,SumRevenue,CountBuy,CountAllStart,CountAllFinish,CountCleanStart,CountCleanFinish,Get_Ads,Get_Chapter,Get_Buy,Get_Faceb,Get_TeamL,Get_TeamT,Spend_BonLives,Spend_Bonus,Spend_Boost,Spend_Lives,Spend_Moves,Spend_TeamC
6,90,1236,A,0,0,22,6,21,6,0,240,0,0,0,0,0,0,0,0,0,0
7,91,1236,A,0,0,10,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1237,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,62,1238,A,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,1239,A,0,0,10,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0
7,21,1239,A,0,0,7,2,7,2,0,0,0,0,0,100,0,0,0,0,0,0
0,63,1240,A,0,0,9,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0
1,64,1240,A,0,0,9,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0
2,71,1240,A,0,0,25,7,22,5,0,0,0,0,0,0,0,0,0,0,0,0
3,71,1240,A,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4,76,1240,A,0,0,23,5,20,5,0,0,0,0,0,0,0,0,0,0,0,0
5,77,1240,A,0,0,16,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0
6,81,1240,A,0,0,20,4,18,4,0,0,0,0,0,0,0,0,0,0,0,0
7,84,1240,A,0,0,22,2,21,2,0,0,0,0,0,0,0,0,0,0,0,0
0,17,1241,A,0,0,18,17,13,13,0,0,0,0,0,0,0,0,0,0,1980,0
0,57,1242,A,0,0,58,25,58,25,0,0,0,0,0,0,0,0,0,0,0,0
1,57,1242,A,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
3,57,1242,A,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32,1243,A,0,0,52,11,49,9,0,0,0,0,0,0,0,0,0,0,0,0
